level_0,index,Category_L1,Category_L2,Category_L3,Category_L4,Category_L4_includefeed,Category_L0,Material_Group,Material,Material_Description,Text,Vendor_Country,Vendor_Name,Vendor_Code,Vendor_City,Vendor_Latitude,Vendor_Longitude,Plant_Country,Plant_Code,Plant_Name,Base_Unit_of_Measure,Converted_units,Fiscal_Year,Quantity,Product_weight_in_tonnes,Municipality,Conversion_name,Conversion_factor,Category_L4_LCA,LCA_match,LCA_match_animal_husbandry,Locally_sourced_update,Fabio_source_commodity,Harvest_Country,Converted crop weight (tonnes),unique_id_x,Global Warming Potential (kg CO2-Eq),Air Pollution (kg PM2.5-Eq),Land Use (m2),Water Pollution (kg P eq),Land Transformation (m2),Soil Pollution (kg SO2 eq),Water Use (m3)
20,20,Raw Materials,Raw Materials & Liquid,Other - Raw Materials & Liquid,Grapes & Wine,,Raw materials,Raisin and Grape,10100200034,KALECİK KARASI ŞARAPLIK  YAŞ ÜZÜM 1,N/A,TR,ABDİ KARAKUŞ,5041363,N/A,N/A,N/A,TR,N/A,N/A,KG,Kg,F22,11560,11.56,N/A,Grapes TO Wine,1.398394896,Grapes,grape//[RoW] grape production,N/A,Yes,N/A,Türkiye,16.165445,grape//[RoW] grape production,1976.295324,4.737606965,5487.823444,0.8535648362,0.1027656268,11.31885788,1695.378849
21,21,Raw Materials,Raw Materials & Liquid,Other - Raw Materials & Liquid,Grapes & Wine,,Raw materials,Raisin and Grape,10100200076,ÇALKARASI ŞARAPLIK YAŞ ÜZÜM,N/A,TR,ABDULKADİR ÇOMAK,5004727,N/A,N/A,N/A,TR,N/A,N/A,KG,Kg,F22,1005,1.005,N/A,Grapes TO Wine,1.398394896,Grapes,grape//[RoW] grape production,N/A,Yes,N/A,Türkiye,1.40538687,grape//[RoW] grape production,171.8146021,0.4118767301,477.0988375,0.07420697754,0.008934208906,0.9840356545,147.3923653
22,22,Raw Materials,Raw Materials & Liquid,Other - Raw Materials & Liquid,Grapes & Wine,,Raw materials,Raisin and Grape,10100200017,NARİNCE ŞARAPLIK   YAŞ ÜZÜM,N/A,TR,ABDULLAH HEZENCİ,5041459,N/A,N/A,N/A,TR,N/A,N/A,KG,Kg,F22,1696,1.696,N/A,Grapes TO Wine,1.398394896,Grapes,grape//[RoW] grape production,N/A,Yes,N/A,Türkiye,2.371677744,grape//[RoW] grape production,289.9478261,0.6950675963,805.1339586,0.1252288895,0.01507703314,1.660621363,248.7337826
23,23,Raw Materials,Raw Materials & Liquid,Other - Raw Materials & Liquid,Grapes & Wine,,Raw materials,Raisin and Grape,10100200026,GAMAY ŞARAPLIK  YAŞ ÜZÜM,N/A,TR,ABDURAHMAN ALTAÇ,5011249,N/A,N/A,N/A,TR,N/A,N/A,KG,Kg,F22,1145,1.145,N/A,Grapes TO Wine,1.398394896,Grapes,grape//[RoW] grape production,N/A,Yes,N/A,Türkiye,1.601162156,grape//[RoW] grape production,195.7489746,0.469252593,543.5603671,0.08454426794,0.01017877532,1.121115248,167.9246351
24,24,Raw Materials,Raw Materials & Liquid,Other - Raw Materials & Liquid,Grapes & Wine,,Raw materials,Raisin and Grape,10100200026,GAMAY ŞARAPLIK  YAŞ ÜZÜM,N/A,TR,ABDUREZAK POLAT,5041517,N/A,N/A,N/A,TR,N/A,N/A,KG,Kg,F22,1306,1.306,N/A,Grapes TO Wine,1.398394896,Grapes,grape//[RoW] grape production,N/A,Yes,N/A,Türkiye,1.826303734,grape//[RoW] grape production,223.2735029,0.5352348354,619.9911262,0.09643215191,0.0116100267,1.278756781,191.5367454
25,25,Raw Materials,Raw Materials & Liquid,Other - Raw Materials & Liquid,Grapes & Wine,,Raw materials,Raisin and Grape,10100200026,GAMAY ŞARAPLIK  YAŞ ÜZÜM,N/A,TR,ABDURRAHMAN BATIR (KANBER),5028900,N/A,N/A,N/A,TR,N/A,N/A,KG,Kg,F22,8700,8.7,N/A,Grapes TO Wine,1.398394896,Grapes,grape//[RoW] grape production,N/A,Yes,N/A,Türkiye,12.1660356,grape//[RoW] grape production,1487.350287,3.565500052,4130.10934,0.6423887608,0.07734091292,8.518517606,1275.933909
26,26,Raw Materials,Raw Materials & Liquid,Sugar & Sweeteners,Sugar & Sweeteners/Undefined,,Raw materials,SUGAR AND SWEETNERS (112),3301008182,RAW Fructose,RAW Fructose,IT,ADEA SRL,1000089489,BUSTO ARSIZIO,45.611906,8.852052,IT,SV2,Santa Vittoria,Kg,Kg,F22,12000,12,N/A,Sugar beet TO Sugar Raw Centrifugal,6.183389933,Sugarbeet,"Sugar beet, at farm/IT Economic",N/A,Yes,N/A,Italy,74.2006792,"Sugar beet, at farm/IT Economic",5186.43105,17.03788205,11848.58979,4.620678119,1.358910912,27.57062765,541.2297838
27,27,Raw Materials,Raw Materials & Liquid,Sugar & Sweeteners,Sugar,,Raw materials,LIQUID SUGAR (112H),3301010448,RAW SCIROPPO FRUTTOSIO 70BX,RAW Sedamyl Fructamyl 211 fructose syrup,IT,ADEA SRL,1000089489,BUSTO ARSIZIO,45.611906,8.852052,IT,SV10,FAVA BIBITE,Kg,Kg,F22,1300,1.3,N/A,Sugar beet TO Sugar Raw Centrifugal,6.183389933,Sugarbeet,"Sugar beet, at farm/IT Economic",N/A,Yes,N/A,Italy,8.038406913,"Sugar beet, at farm/IT Economic",561.8633638,1.845770555,1283.597228,0.5005734629,0.1472153488,2.986817995,58.63322657
28,28,Raw Materials,Raw Materials & Liquid,Cereals,Sorghum,,Raw materials,SORGHUM (111A),308751,Grain - Sorghum,Grain - Sorghum,NG,ADEFUNKE DESH VARIETY STORES LTD,1000065499,ZARIA,13.08333,5.25,NG,LA2,Ogba Brewery,Kg,Kg,F22,590500,590.5,N/A,,N/A,Sorghum,"Sorghum grain, at farm/EG Economic",N/A,Yes,N/A,Nigeria,590.5,"Sorghum grain, at farm/EG Economic",282549.6528,2119.895,551650.207,227.090882,5605.077489,1978.854051,133004.4889
29,29,Raw Materials,Raw Materials & Liquid,Other - Raw Materials & Liquid,Grapes & Wine,,Raw materials,Raisin and Grape,10100200017,NARİNCE ŞARAPLIK   YAŞ ÜZÜM,N/A,TR,ADEM HİNDİ,5039036,N/A,N/A,N/A,TR,N/A,N/A,KG,Kg,F22,3068,3.068,N/A,Grapes TO Wine,1.398394896,Grapes,grape//[RoW] grape production,N/A,Yes,N/A,Türkiye,4.290275541,grape//[RoW] grape production,524.504676,1.257351053,1456.456949,0.2265343354,0.027273784,3.004001381,449.9500266
30,30,Raw Materials,Raw Materials & Liquid,Other - Raw Materials & Liquid,Grapes & Wine,,Raw materials,Raisin and Grape,10100200017,NARİNCE ŞARAPLIK   YAŞ ÜZÜM,N/A,TR,ADEM KOCA,5041380,N/A,N/A,N/A,TR,N/A,N/A,KG,Kg,F22,2085,2.085,N/A,Grapes TO Wine,1.398394896,Grapes,grape//[RoW] grape production,N/A,Yes,N/A,Türkiye,2.915653358,grape//[RoW] grape production,356.4511895,0.8544905297,989.8020659,0.1539517892,0.01853514982,2.041506806,305.7841609
31,31,Raw Materials,Raw Materials & Liquid,Other - Raw Materials & Liquid,Grapes & Wine,,Raw materials,Raisin and Grape,10100500020,SYRAH ŞARAPLIK YAŞ ÜZÜM 2,N/A,TR,ADİL GENCER,5041430,N/A,N/A,N/A,TR,N/A,N/A,KG,Kg,F22,4335,4.335,N/A,Grapes TO Wine,1.398394896,Grapes,grape//[RoW] grape production,N/A,Yes,N/A,Türkiye,6.062041874,grape//[RoW] grape production,741.1107465,1.776602612,2057.933792,0.3200868136,0.03853711006,4.244571704,635.7670683
32,32,Raw Materials,Raw Materials & Liquid,Other - Raw Materials & Liquid,Grapes & Wine,,Raw materials,Raisin and Grape,10100200076,ÇALKARASI ŞARAPLIK YAŞ ÜZÜM,N/A,TR,ADNAN ÖZTÜRK,5004623,N/A,N/A,N/A,TR,N/A,N/A,KG,Kg,F22,6313,6.313,N/A,Grapes TO Wine,1.398394896,Grapes,grape//[RoW] grape production,N/A,Yes,N/A,Türkiye,8.828066978,grape//[RoW] grape production,1079.269237,2.587241589,2996.94026,0.4661379594,0.05612105555,6.181310534,925.8587086
33,33,Raw Materials,Raw Materials & Liquid,Cereals,Sorghum,,Raw materials,SORGHUM (111A),308751,Grain - Sorghum,Grain - Sorghum,GH,AE FARMS COMPANY LTD,1000133378,JIRAPA,10.53048955,-2.700646771,GH,KA2,Kaasi,Kg,Kg,F22,2167354,2167.35,N/A,,N/A,Sorghum,"Sorghum grain, at farm/EG Economic",N/A,Yes,N/A,Ghana,2167.35,"Sorghum grain, at farm/EG Economic",1037060.102,7780.7865,2024757.115,833.5062205,20572.67518,7263.114866,488174.901
